iter	Passed	Remaining
176	380	1767
177	381	1760
178	382	1752
179	383	1746
180	384	1739
181	385	1732
182	386	1724
183	387	1717
184	388	1710
185	389	1703
186	390	1697
187	391	1690
188	393	1690
189	394	1683
190	395	1676
191	396	1670
192	397	1663
193	398	1657
194	399	1651
195	401	1645
196	402	1638
197	402	1632
198	403	1625
199	404	1619
200	405	1613
201	408	1613
202	409	1608
203	410	1601
204	411	1596
205	412	1591
206	414	1586
207	415	1581
208	416	1576
209	417	1570
210	418	1565
211	419	1560
212	420	1555
213	424	1558
214	425	1553
215	427	1551
216	428	1547
217	429	1541
218	430	1536
219	431	1531
220	432	1525
221	433	1520
222	434	1515
223	435	1509
224	437	1508
225	439	1503
226	440	1499
227	441	1494
228	442	1490
229	443	1485
230	445	1481
231	446	1477
232	447	1472
233	448	1467
234	449	1462
235	450	1458
236	453	1459
237	454	1455
238	455	1450
239	456	1445
240	457	1440
241	458	1435
242	459	1431
243	460	1427
244	461	1422
245	462	1416
246	463	1411
247	463	1406
248	464	1401
249	465	1396
250	467	1393
251	468	1389
252	469	1384
253	469	1379
254	470	1374
255	471	1370
256	472	1365
257	473	1361
258	474	1356
259	475	1352
260	475	1347
261	476	1342
262	477	1338
263	478	1333
264	479	1328
265	480	1324
266	482	1324
267	483	1320
268	484	1315
269	484	1311
270	485	1306
271	486	1302
272	487	1298
273	488	1294
274	489	1289
275	490	1285
276	490	1281
277	491	1277
278	492	1272
279	493	1268
280	494	1264
281	495	1260
282	497	1260
283	498	1255
284	498	1251
285	499	1247
286	500	1244
287	501	1240
288	502	1236
289	503	1232
290	504	1228
291	504	1224
292	505	1220
293	506	1216
294	507	1212
295	508	1208
296	509	1204
297	509	1201
298	511	1198
299	513	1197
300	514	1193
301	515	1191
302	516	1187
303	517	1183
304	517	1180
305	518	1176
306	519	1172
307	520	1168
308	521	1165
309	522	1162
310	523	1158
311	523	1155
312	524	1151
313	526	1149
314	527	1147
315	528	1144
316	530	1142
317	531	1139
318	532	1135
319	533	1132
320	534	1130
321	535	1126
322	535	1123
323	536	1120
324	537	1116
325	538	1113
326	539	1109
327	541	1108
328	542	1105
329	542	1102
330	543	1099
331	544	1095
332	545	1092
333	546	1089
334	547	1085
335	548	1083
336	549	1080
337	550	1077
338	550	1074
339	551	1070
340	552	1067
341	553	1064
342	554	1061
343	556	1061
344	557	1058
345	558	1055
346	559	1052
347	559	1048
348	560	1045
349	561	1042
350	562	1039
351	563	1036
352	563	1033
353	564	1030
354	565	1027
355	566	1024
356	567	1021
357	568	1018
358	568	1015
359	571	1015
360	572	1013
361	573	1010
362	574	1008
363	575	1006
364	577	1003
365	654	1133
366	655	1131
367	657	1128
368	658	1126
369	659	1123
370	660	1120
371	662	1117
372	663	1114
373	664	1111
374	665	1109
375	666	1106
376	683	1128
377	686	1129
378	687	1126
379	688	1123
380	689	1120
381	690	1117
382	691	1114
383	692	1111
384	694	1108
385	695	1105
386	696	1102
387	696	1099
388	699	1099
389	700	1096
390	701	1093
391	702	1090
392	704	1087
393	704	1084
394	705	1081
395	706	1078
396	707	1075
397	708	1072
398	709	1069
399	710	1066
400	711	1063
401	714	1062
402	715	1060
403	716	1057
404	717	1054
405	718	1051
406	719	1048
407	720	1045
408	721	1042
409	722	1039
410	723	1036
411	724	1034
412	725	1031
413	726	1028
414	729	1027
415	730	1025
416	731	1023
417	733	1020
418	734	1018
419	735	1015
420	737	1013
421	738	1010
422	739	1008
423	740	1005
424	741	1002
425	742	999
426	743	997
427	744	994
428	745	991
429	745	988
430	746	986
431	747	983
432	748	980
433	750	978
434	751	975
435	752	973
436	753	970
437	754	967
438	755	965
439	757	963
440	758	960
441	759	958
442	759	955
443	760	952
444	761	950
445	762	947
446	763	945
447	764	942
448	765	939
449	766	937
450	767	934
451	768	932
452	771	931
453	772	929
454	773	926
455	774	924
456	775	921
457	776	919
458	777	916
459	778	914
460	779	911
461	780	909
462	781	906
463	782	904
464	786	904
465	789	904
466	792	904
467	794	903
468	795	900
469	796	898
470	798	896
471	801	896
472	803	894
473	804	892
474	805	890
475	806	888
476	807	885
477	808	883
478	810	881
479	811	878
480	812	876
481	813	873
482	814	871
483	816	870
484	817	868
485	818	866
486	819	863
487	821	861
488	822	859
489	824	858
490	825	855
491	826	853
492	827	851
493	828	849
494	831	848
495	832	846
496	833	844
497	834	841
498	835	839
499	836	836
500	838	834
501	839	832
502	840	830
503	841	828
504	842	825
505	843	823
506	846	823
507	847	821
508	848	818
509	850	816
510	851	814
511	852	812
512	853	810
513	855	808
514	856	806
515	857	804
516	858	802
517	861	801
518	862	799
519	864	797
520	865	795
521	866	793
522	867	791
523	868	789
524	869	786
525	870	784
526	872	782
527	873	780
528	876	780
529	877	778
530	878	776
531	879	773
532	881	771
533	882	769
534	883	767
535	884	765
536	885	763
537	886	761
538	887	759
539	889	757
540	890	755
541	891	753
542	892	751
543	893	749
544	894	747
545	895	745
546	897	742
547	898	740
548	899	738
549	900	736
550	901	734
551	902	732
552	903	730
553	905	728
554	906	727
555	908	725
556	909	723
557	910	721
558	911	719
559	913	717
560	914	715
561	915	713
562	918	712
563	919	711
564	920	709
565	922	707
566	923	705
567	924	703
568	925	701
569	926	699
570	928	697
571	929	695
572	930	693
573	933	692
574	934	690
575	935	688
576	936	686
577	937	684
578	938	682
579	940	680
580	941	678
581	942	676
582	943	674
583	944	672
584	945	670
585	948	670
586	949	668
587	951	666
588	952	664
589	953	662
590	954	660
591	955	658
592	956	656
593	958	654
594	959	652
595	960	650
596	962	649
597	963	648
598	965	646
599	966	644
600	967	642
601	968	640
602	969	638
603	970	636
604	972	634
605	973	632
606	974	630
607	975	628
608	976	627
609	977	625
610	979	623
611	980	621
612	981	619
613	982	617
614	983	615
615	984	613
616	985	611
617	986	610
618	988	608
619	990	607
620	992	605
621	993	603
622	994	601
623	995	599
624	996	597
625	997	596
626	999	594
627	1000	592
628	1001	590
629	1002	588
630	1005	587
631	1006	586
632	1007	584
633	1008	582
634	1009	580
635	1010	578
636	1012	576
637	1013	574
638	1014	573
639	1015	571
640	1016	569
641	1017	567
642	1020	566
643	1021	564
644	1023	563
645	1024	561
646	1025	559
647	1026	557
648	1027	555
649	1028	553
650	1029	551
651	1030	550
652	1031	548
653	1032	546
654	1035	545
655	1037	543
656	1038	542
657	1039	540
658	1040	538
659	1041	536
660	1042	534
661	1043	532
662	1044	531
663	1046	529
664	1047	527
665	1048	525
666	1050	524
667	1051	522
668	1053	521
669	1054	519
670	1055	517
671	1056	515
672	1057	513
673	1058	512
674	1059	510
675	1060	508
676	1062	506
677	1064	505
678	1065	503
679	1066	502
680	1068	500
681	1069	498
682	1070	496
683	1071	495
684	1072	493
685	1074	491
686	1075	489
687	1076	488
688	1077	486
689	1080	485
690	1081	483
691	1082	481
692	1084	480
693	1085	478
694	1086	476
695	1087	475
696	1088	473
697	1089	471
698	1090	469
699	1092	468
700	1095	467
701	1096	465
702	1097	463
703	1098	461
704	1099	460
705	1101	458
706	1102	456
707	1103	455
708	1104	453
709	1105	451
710	1106	449
711	1109	448
712	1110	447
713	1111	445
714	1112	443
715	1114	441
716	1115	440
717	1116	438
718	1118	436
719	1119	435
720	1120	433
721	1121	431
722	1122	430
723	1125	429
724	1126	427
725	1127	425
726	1128	423
727	1129	422
728	1130	420
729	1132	418
730	1133	417
731	1134	415
732	1135	413
733	1136	411
734	1139	410
735	1141	409
736	1142	407
737	1143	405
738	1144	404
739	1145	402
740	1146	400
741	1148	399
742	1149	397
743	1150	395
744	1151	394
745	1154	392
746	1155	391
747	1156	389
748	1157	387
749	1158	386
750	1160	384
751	1161	383
752	1162	381
753	1163	379
754	1165	378
755	1166	376
756	1168	375
757	1169	373
758	1171	371
759	1172	370
760	1173	368
761	1174	366
762	1175	365
763	1176	363
764	1177	361
765	1178	359
766	1179	358
767	1180	356
768	1181	354
769	1183	353
770	1185	351
771	1186	350
772	1187	348
773	1188	346
774	1189	345
775	1190	343
776	1192	342
777	1194	340
778	1195	339
779	1198	337
780	1199	336
781	1200	334
782	1202	333
783	1203	331
784	1204	329
785	1206	328
786	1208	326
787	1209	325
788	1210	323
789	1213	322
790	1215	321
791	1216	319
792	1217	317
793	1218	316
794	1219	314
795	1221	312
796	1222	311
797	1223	309
798	1224	308
799	1225	306
800	1228	305
801	1230	303
802	1231	302
803	1232	300
804	1233	298
805	1234	297
806	1235	295
807	1237	293
808	1238	292
809	1239	290
810	1241	289
811	1243	287
812	1244	286
813	1245	284
814	1247	283
815	1248	281
816	1249	279
817	1250	278
818	1251	276
819	1252	274
820	1253	273
821	1254	271
822	1255	269
823	1256	268
824	1258	266
825	1259	265
826	1260	263
827	1261	262
828	1262	260
829	1263	258
830	1264	257
831	1265	255
832	1266	253
833	1267	252
834	1268	250
835	1269	249
836	1270	247
837	1271	245
838	1272	244
839	1273	242
840	1274	241
841	1275	239
842	1276	237
843	1277	236
844	1278	234
845	1279	232
846	1280	231
847	1282	229
848	1283	228
849	1285	226
850	1286	225
851	1287	223
852	1288	222
853	1289	220
854	1291	218
855	1292	217
856	1293	215
857	1294	214
858	1295	212
859	1296	211
860	1297	209
861	1300	208
862	1301	206
863	1302	205
864	1303	203
865	1304	201
866	1305	200
867	1306	198
868	1307	197
869	1308	195
870	1309	194
871	1310	192
872	1311	190
873	1312	189
874	1314	187
875	1315	186
876	1316	184
877	1317	183
878	1318	181
879	1319	179
880	1321	178
881	1322	176
882	1323	175
883	1324	173
884	1325	172
885	1326	170
886	1327	169
887	1330	167
888	1331	166
889	1332	164
890	1333	163
891	1334	161
892	1335	159
893	1336	158
894	1337	156
895	1338	155
896	1339	153
897	1340	152
898	1341	150
899	1342	149
900	1344	147
901	1345	146
902	1346	144
903	1347	143
904	1348	141
905	1349	140
906	1350	138
907	1351	136
908	1352	135
909	1353	133
910	1354	132
911	1355	130
912	1356	129
913	1357	127
914	1360	126
915	1361	124
916	1362	123
917	1363	121
918	1364	120
919	1364	118
920	1365	117
921	1366	115
922	1367	114
923	1368	112
924	1368	110
925	1369	109
926	1370	107
927	1371	106
928	1372	104
929	1374	103
930	1375	101
931	1376	100
932	1377	98
933	1378	97
934	1379	95
935	1381	94
936	1382	92
937	1382	91
938	1383	89
939	1384	88
940	1385	86
941	1386	85
942	1387	83
943	1389	82
944	1390	80
945	1391	79
946	1392	77
947	1393	76
948	1393	74
949	1394	73
950	1395	71
951	1396	70
952	1397	68
953	1398	67
954	1398	65
955	1399	64
956	1400	62
957	1401	61
958	1402	59
959	1405	58
960	1406	57
961	1406	55
962	1407	54
963	1408	52
964	1409	51
965	1410	49
966	1411	48
967	1411	46
968	1412	45
969	1413	43
970	1414	42
971	1415	40
972	1416	39
973	1416	37
974	1418	36
975	1419	34
976	1420	33
977	1421	31
978	1422	30
979	1422	29
980	1423	27
981	1424	26
982	1425	24
983	1426	23
984	1427	21
985	1428	20
986	1428	18
987	1429	17
988	1430	15
989	1431	14
990	1434	13
991	1434	11
992	1435	10
993	1436	8
994	1437	7
995	1438	5
996	1439	4
997	1439	2
998	1440	1
999	1441	0
